date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:43	6528/6528	---M-Z	200	added ('OK')	application/javascript	etag:%221980-60a2cd6b-11977efe3dbd3d52;gz%22	https://www.sobczak.com.pl/resources/js/responsive-fader.js?v02	D:/website/schody/www.sobczak.com.pl/resources/js/responsive-fader429f.js	(from https://www.sobczak.com.pl/)
13:09:44	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-60a2cd36-6e7fe2199fcba948;gz%22	https://www.sobczak.com.pl/dist/glyphicons-halflings-regular.eot	D:/website/schody/www.sobczak.com.pl/dist/glyphicons-halflings-regular.eot	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:44	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-60a2cd36-6e7fe2199fcba948;gz%22	https://www.sobczak.com.pl/dist/glyphicons-halflings-regular.eot?	D:/website/schody/www.sobczak.com.pl/dist/glyphicons-halflings-regulard41d.eot	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:44	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%22466c-60a2cd37-940e4ba893839319;;;%22	https://www.sobczak.com.pl/dist/glyphicons-halflings-regular.woff2	D:/website/schody/www.sobczak.com.pl/dist/glyphicons-halflings-regular.woff2	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:44	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%225b80-60a2cd36-57c4a276ea9ade8e;;;%22	https://www.sobczak.com.pl/dist/glyphicons-halflings-regular.woff	D:/website/schody/www.sobczak.com.pl/dist/glyphicons-halflings-regular.woff	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:44	45404/45404	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22b15c-60a2cd37-56c14b4816d9c3ba;gz%22	https://www.sobczak.com.pl/dist/glyphicons-halflings-regular.ttf	D:/website/schody/www.sobczak.com.pl/dist/glyphicons-halflings-regular.ttf	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:45	76/76	---M--	200	added ('OK')	image/svg+xml	etag:%224c-60a2cd3c-26513ab0efb920e6;;;%22	https://www.sobczak.com.pl/dist/resources/vendor/css/bootstrap/fonts/glyphicons-halflings-regular.8d75586254ef62e5f5e66997a87f81ec.svg	D:/website/schody/www.sobczak.com.pl/dist/resources/vendor/css/bootstrap/fonts/glyphicons-halflings-regular.8d75586254ef62e5f5e66997a87f81ec.svg	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:45	70807/70807	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-60a2cd38-6ac22cf1f8b4eb97;gz%22	https://www.sobczak.com.pl/dist/fontawesome-webfont.eot	D:/website/schody/www.sobczak.com.pl/dist/fontawesome-webfont.eot	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:45	70807/70807	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-60a2cd38-6ac22cf1f8b4eb97;gz%22	https://www.sobczak.com.pl/dist/fontawesome-webfont.eot?	D:/website/schody/www.sobczak.com.pl/dist/fontawesome-webfontd41d.eot	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
13:09:45	66624/66624	---M--	200	added ('OK')	font/woff2	etag:%2210440-60a2cd37-31d0dd23be21700c;;;%22	https://www.sobczak.com.pl/dist/fontawesome-webfont.woff2	D:/website/schody/www.sobczak.com.pl/dist/fontawesome-webfont.woff2	(from https://www.sobczak.com.pl/dist/main.12710703cc1e0f13605d.css)
